Регион;Все население;Городское население;Сельское население;Все население;Городское население;Сельское население;;;;;;
Красноярский край ;2866255  ;2222227  ;644028  ;2870140  ;2225603  ;644537  ;;;;;;
Иркутская область;2391193  ;1866880  ;524313  ;2394478  ;1877452  ;517026  ;;;;;;
Кемеровская область;2657854  ;2287237  ;370617  ;2666055  ;2294074  ;371981  ;;;;;;
Новосибирская область;2798170  ;2216355  ;581815  ;2795777  ;2213262  ;582515  ;;;;;;
Омская область;1926665  ;1404883  ;521782  ;1935430  ;1410264  ;525166  ;;;;;;
Томская область;1079271  ;781457  ;297814  ;1078356  ;781344  ;297012  ;;;;;;
Бурятия республика;985937  ;583973  ;401964  ;984605  ;582362  ;402243  ;;;;;;
Саха /Якутия/;971996  ;642708  ;329288  ;969503  ;640080  ;329423  ;;;;;;
Забайкальский край;1059700  ;722541  ;337159  ;1062742  ;725895  ;336847  ;;;;;;
Камчатский край;313016  ;245607  ;67409  ;313869  ;246184  ;67685  ;;;;;;
Приморский край;1895868  ;1466775  ;429093  ;1899293  ;1469613  ;429680  ;;;;;;
Хабаровский край;1315643  ;1079986  ;235657  ;1318558  ;1082107  ;236451  ;;;;;;
Амурская область;790044  ;535151  ;254893  ;791619  ;535363  ;256256  ;;;;;;
Магаданская область;140149  ;134641  ;5508  ;140692  ;135166  ;5526  ;;;;;;
Сахалинская область;488257  ;402063  ;86194  ;488948  ;402291  ;86657  ;;;;;;
Еврейская автономная область;158305  ;108681  ;49624  ;159109  ;109371  ;49738  ;;;;;;
Чукотский автономный округ;50288  ;35974  ;14314  ;49975  ;35583  ;14392  ;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
