,region,population,density,city_pop_fraction,index
0,Белгородская,1549151.0,57.16424354243542,0.6748974115499393,2.1680272108843526
1,Брянская,1192491.0,34.16879656160459,0.7042585646348694,2.4178571428571423
2,Владимирская,1358416.0,46.841931034482755,0.7824311551100693,2.346326530612245
3,Воронежская,2324205.0,44.3550572519084,0.6795506420474958,2.341836734693877
4,Ивановская,997135.0,45.7401376146789,0.8171190460669819,2.2904761904761908
5,Калужская,1002575.0,33.530936454849495,0.758566690771264,2.1163265306122456
6,Костромская,633385.0,10.538851913477538,0.7273522423170742,2.278571428571428
7,Курская,1104008.0,37.04724832214765,0.685197933348309,2.412244897959184
8,Липецкая,1139371.0,47.276804979253114,0.646328544433727,2.364795918367346
9,Московская,7690863.0,173.60864559819413,0.8137034816508889,2.4937969924812067
10,Орловская,733498.0,29.696275303643723,0.6677605119577695,2.253061224489796
11,Рязанская,1108847.0,28.00118686868687,0.7220346900879923,2.137755102040817
12,Смоленская,934889.0,18.772871485943774,0.7181141290570324,2.2241496598639463
13,Тамбовская,1006748.0,29.35125364431487,0.6138745743721368,2.223979591836734
14,Тверская,1260379.0,14.98667063020214,0.7613947868061909,2.229591836734694
15,Тульская,1466127.0,57.04774319066148,0.7482182648570008,2.426700680272109
16,Ярославская,1253389.0,34.433763736263735,0.8159821093052516,2.346938775510205
17,Москва,12678079.0,4876.18423076923,0.9844142002901228,2.41530612244898
18,Карелия,614064.0,3.5618561484918794,0.8099106933479246,2.5448979591836745
19,Коми,820473.0,1.972765087761481,0.78213542675993,2.722108843537415
20,Архангельская,1092424.0,1.8597616615594144,0.7879431429554825,2.49829931972789
21,Вологодская,1160445.0,7.964619080301991,0.7264807896970559,2.337244897959183
22,Калининградская,1012512.0,67.05377483443709,0.7765962279953226,2.440816326530614
23,Ленинградская,1875872.0,22.358426698450536,0.6718203587451596,2.4303571428571416
24,Мурманская,741404.0,5.1166597653554176,0.9217740934767009,2.9948979591836746
25,Новгородская,596508.0,10.786763110307414,0.7151320686394818,2.259693877551021
26,Псковская,626115.0,11.322151898734177,0.7087372128123428,2.2382653061224485
27,Санкт-Петербург,5398064.0,3855.76,1.0,2.186734693877551
28,Адыгея,463088.0,60.932631578947365,0.47287124693362814,2.260204081632654
29,Калмыкия,271135.0,3.5628777923784494,0.4590406992826452,2.4989795918367332
30,Крым,1912622.0,73.28053639846743,0.5098801540503037,2.618367346938776
31,Краснодарский,5675462.0,74.67713157894737,0.5535248055576797,2.237482993197276
32,Астраханская,1005782.0,22.806848072562357,0.6671226965684413,2.329591836734694
33,Волгоградская,2491036.0,21.870377524143986,0.7728571566207795,2.22295918367347
34,Ростовская,4197821.0,41.645049603174606,0.6819940631103613,2.4141929499072328
35,Севастополь,449138.0,499.0422222222222,0.9323927167151299,2.6846938775510223
36,Дагестан,3110858.0,61.846083499005964,0.45306793174101806,2.6897959183673468
37,Ингушетия,507061.0,163.56806451612903,0.5564360106574948,2.008163265306123
38,Кабардино-Балкарская,868350.0,69.468,0.5206345367651293,2.315816326530612
39,Карачаево-Черкесская,465528.0,33.01617021276596,0.42882705229331,2.0969387755102042
40,Северная Осетия - Алания,696837.0,87.104625,0.6433369640245854,2.278571428571428
41,Чеченская,1478726.0,91.27938271604938,0.36883641729434663,2.795663265306122
42,Ставропольский,2803573.0,42.15899248120301,0.5905178855695928,2.2486394557823086
43,Башкортостан,4038151.0,28.120828690807798,0.6245036404037393,2.395447409733117
44,Марий Эл,679417.0,29.28521551724138,0.6704645306196342,2.187755102040817
45,Мордовия,790197.0,30.160190839694657,0.6384914141663408,2.2040816326530606
46,Татарстан,3902888.0,57.395411764705884,0.7692191013423906,2.320975056689341
47,Удмуртская,1500955.0,35.6521377672209,0.6610304772628094,2.228316326530609
48,Чувашская,1217818.0,66.54743169398907,0.6338672937992377,2.292346938775509
49,Пермский,2599260.0,16.184682440846824,0.7590587321006748,2.4553935860058327
50,Кировская,1262402.0,10.450347682119205,0.7775803587129931,2.307142857142857
51,Нижегородская,3202946.0,41.65079323797139,0.7969413159010486,2.2600765306122432
52,Оренбургская,1956835.0,15.780927419354839,0.6063715131832781,2.349999999999999
53,Пензенская,1305563.0,30.22136574074074,0.6892888355445123,2.3680272108843536
54,Самарская,3179532.0,59.319626865671644,0.7980363147784013,2.30544217687075
55,Саратовская,2421895.0,24.17060878243513,0.755953499222716,2.4189795918367354
56,Ульяновская,1229824.0,32.971152815013404,0.7584068939945878,2.2147959183673485
57,Курганская,827166.0,11.650225352112676,0.6219573821941424,2.08265306122449
58,Свердловская,4310681.0,22.128752566735113,0.8501475752903079,2.363775510204083
59,Ханты-Мансийский Автономный округ - Югра,1674676.0,3.2014452303574843,0.9251419379032123,2.23265306122449
60,Ямало-Ненецкий,544444.0,0.7256350793016126,0.8395335424763612,2.430612244897959
61,Тюменская,1537416.0,1.0712207357859531,0.674789386867315,2.2289115646258497
62,Челябинская,3466369.0,39.43536973833902,0.8268407085339154,2.365114795918369
63,Алтай,220181.0,2.3777645788336934,0.2927773059437463,1.5214285714285716
64,Тыва,327383.0,1.9201348973607038,0.5429878765849173,1.5765306122448979
65,Хакасия,534262.0,8.631050080775445,0.6982660192939045,2.089285714285714
66,Алтайский,2317153.0,13.702856298048491,0.5694764221438982,2.186734693877552
67,Красноярский,2866255.0,1.2250523571398042,0.7753068027792364,2.3633928571428564
68,Иркутская,2391193.0,3.1139380127620786,0.7807316264308234,2.208333333333333
69,Кемеровская,2657854.0,27.830931937172775,0.8605578034007888,2.1168367346938797
70,Новосибирская,2798170.0,15.702413019079685,0.7920730334468599,2.0350340136054417
71,Омская,1926665.0,13.791445955619183,0.7291786584590471,2.1897959183673468
72,Томская,1079271.0,3.40571473650994,0.7240600368211506,2.2959183673469403
73,Бурятия,985937.0,2.8065385710219184,0.5923025507714996,2.285714285714286
74,Саха /Якутия/,971996.0,0.3132237690126321,0.6612249433125239,2.544897959183676
75,Забайкальский,1059700.0,2.453577216948368,0.681835425120317,2.5500000000000003
76,Камчатский,313016.0,0.66274825322888,0.7846467912183402,2.1530612244897966
77,Приморский,1895868.0,11.427775768535263,0.7736693693864762,1.9385714285714273
78,Хабаровский,1315643.0,1.6683274156733452,0.8208807404440263,2.081122448979591
79,Амурская,790044.0,2.1722408578498764,0.6773686022550642,1.8414965986394545
80,Магаданская,140149.0,0.3037472908539228,0.9606989703815225,1.8734693877551016
81,Сахалинская,488257.0,5.605706084959817,0.8234659206114813,1.6969387755102041
82,Еврейская,158305.0,4.3973611111111115,0.6865291683774991,2.056122448979592
