city,lat,long
Адыгейск,44.8783715,39.190172
Майкоп,44.6098268,40.1006527
Горно-Алтайск,51.958268100000005,85.9602957
Алейск,52.4920914,82.7794145
Барнаул,53.3481145,83.7798362
Белокуриха,51.9960534,84.9840343
Бийск,52.5393683,85.2138852
Горняк,50.9979032,81.4643059
Заринск,53.7063495,84.9314703
Змеиногорск,51.1580235,82.18724759999999
Камень-на-Оби,53.791545400000004,81.3545173
Новоалтайск,53.4120811,83.9311249
Рубцовск,51.5013075,81.20777290000001
Славгород,52.999305299999996,78.64596740000002
Яровое,52.9251728,78.57298979999999
Белогорск,50.921223499999996,128.4738742
Благовещенск,50.2905935,127.5272186
Завитинск,50.1064678,129.43928970000002
Зея,53.733915100000004,127.26580790000001
Райчихинск,49.7941882,129.4112149
Свободный,51.361264,128.1218995
Сковородино,53.987100399999996,123.943729
Тында,55.15464010000001,124.74686340000001
Циолковский,51.7624346,128.121972
Шимановск,52.0052856,127.70065590000002
Архангельск,64.5392985,40.5170083
Вельск,61.066005700000005,42.103285799999995
Каргополь,61.5008762,38.9636415
Коряжма,61.2885993,47.1002315
Котлас,61.25298420000001,46.633191499999995
Мезень,65.83983860000001,44.2531865
Мирный,62.7644267,40.3359976
Новодвинск,64.4136023,40.820800299999995
Няндома,61.6653735,40.2061699
Онега,63.9163966,38.0805749
Северодвинск,64.56253000000001,39.8182715
Сольвычегодск,61.3318091,46.920351000000004
Шенкурск,62.105742299999996,42.89959
Астрахань,46.3655808,48.0559979
Ахтубинск,48.2753078,46.1906741
Знаменск,48.5865618,45.7367908
Камызяк,46.1105429,48.0732724
Нариманов,46.6916597,47.8501624
Харабали,47.4089187,47.2524467
Агидель,55.89976,53.9221149
Баймак,52.5912632,58.3111995
Белебей,54.1033832,54.1111878
Белорецк,53.967592700000004,58.4099562
Бирск,55.415710700000005,55.55823349999999
Благовещенск,55.0499592,55.955309
Давлеканово,54.22276170000001,55.0313419
Дюртюли,55.484804700000005,54.8524875
Ишимбай,53.454631400000004,56.043874
Кумертау,52.7565537,55.796991500000004
Межгорье,54.23968299999999,57.961459999999995
Мелеуз,52.9590637,55.9283483
Нефтекамск,56.08830749999999,54.24833910000001
Октябрьский,54.4815344,53.465661100000005
Салават,53.3616311,55.9245559
Сибай,52.7205811,58.6663303
Стерлитамак,53.6302498,55.93157070000001
Туймазы,54.5999889,53.6949081
Уфа,54.734853,55.9578647
Учалы,54.306696499999994,59.412655900000004
Янаул,56.2650336,54.929831400000005
Алексеевка,50.6299932,38.6881776
Белгород,50.5977351,36.585823600000005
Бирюч,50.6483899,38.4006203
Валуйки,50.2112799,38.0998765
Грайворон,50.486269899999996,35.666295700000006
Губкин,51.283636200000004,37.534760799999994
Короча,50.8130123,37.189654299999994
Новый Оскол,50.7635162,37.8774026
Старый Оскол,51.2965991,37.8349849
Строитель,50.7845571,36.488661900000004
Шебекино,50.4005506,36.8877988
Брянск,53.2420071,34.3652716
Дятьково,53.595828299999994,34.355092
Жуковка,53.5341219,33.730216600000006
Злынка,52.426590600000004,31.7360386
Карачев,53.1297194,34.988785899999996
Клинцы,52.7529052,32.2339161
Мглин,53.060064399999995,32.8467217
Новозыбков,52.537142599999996,31.9356826
Почеп,52.91547239999999,33.4744608
Севск,52.148421500000005,34.491819799999995
Сельцо,53.3738801,34.1059226
Стародуб,52.5851881,32.7603628
Сураж,53.017123899999994,32.393835100000004
Трубчевск,52.5791314,33.7660013
Унеча,52.846066500000006,32.6757071
Фокино,53.4554552,34.4158537
Бабушкин,51.7113066,105.8673633
Гусиноозерск,51.2865751,106.52307320000001
Закаменск,50.3726774,103.2867452
Кяхта,50.3466291,106.4534938
Северобайкальск,55.6357165,109.33626059999999
Улан-Удэ,51.8334378,107.5841511
Александров,56.3919652,38.711034999999995
Владимир,56.1281561,40.4082995
Вязники,56.297652799999994,42.2687311
Гороховец,56.2021059,42.692516999999995
Гусь-Хрустальный,55.619806499999996,40.6578769
Камешково,56.348871200000005,40.9955682
Карабаново,56.3133447,38.70342670000001
Киржач,56.14852629999999,38.8635035
Ковров,56.3553895,41.3169568
Кольчугино,56.332761600000005,39.391201
Костерево,55.9336424,39.624821999999995
Курлово,55.4525994,40.612436200000005
Лакинск,56.01806139999999,39.9564706
Меленки,55.3387017,41.634124
Муром,55.563227600000005,42.023006
Петушки,55.9297657,39.45079129999999
Покров,55.9167118,39.1733641
Радужный,55.996103399999996,40.3323247
Собинка,55.993798,40.0180034
Струнино,56.37500010000001,38.583938
Судогда,55.949897,40.85633920000001
Суздаль,56.4273814,40.4525581
Юрьев-Польский,56.4938067,39.6679311
Волгоград,48.7072005,44.5170207
Волжский,48.7978483,44.7462417
Дубовка,49.055534200000004,44.827081299999996
Жирновск,50.976756099999996,44.78576939999999
Калач-на-Дону,48.688756899999994,43.5306866
Камышин,50.0651261,45.3843816
Котельниково,47.6310808,43.133119799999996
Котово,50.3205433,44.8031864
Краснослободск,48.7068777,44.5631799
Ленинск,48.6936234,45.1992835
Михайловка,50.0708749,43.240084700000004
Николаевск,50.01669520000001,45.4733204
Новоаннинский,50.5296873,42.6666038
Палласовка,50.0501422,46.8803355
Петров Вал,50.1380355,45.2091455
Серафимович,49.566286,42.7360013
Суровикино,48.6189756,42.85413079999999
Урюпинск,50.790476700000006,42.028858899999996
Фролово,49.7647809,43.6648936
Бабаево,59.389309,35.9378318
Белозерск,60.0307914,37.7891123
Великий Устюг,60.7603243,46.3053893
Вологда,59.2484186,39.8356461
Вытегра,61.0064157,36.4495835
Грязовец,58.8757657,40.248477
Кадников,59.50379470000001,40.3440473
Кириллов,59.8590353,38.3749854
Красавино,60.9613991,46.481465
Никольск,59.5350162,45.457546799999996
