reg_departure,Адыгея,Алтай,Алтайский,Амурская,Архангельская,Астраханская,Башкортостан,Белгородская,Брянская,Бурятия,Владимирская,Волгоградская,Вологодская,Воронежская,Дагестан,Еврейская,Забайкальский,Ивановская,Ингушетия,Иркутская,Кабардино-Балкарская,Калининградская,Калмыкия,Калужская,Камчатский,Карелия,Кемеровская,Кировская,Коми,Костромская,Краснодарский,Красноярский,Крым,Курганская,Курская,Ленинградская,Липецкая,Магаданская,Марий Эл,Мордовия,Москва,Московская,Мурманская,Ненецкий,Нижегородская,Новгородская,Новосибирская,Омская,Оренбургская,Орловская,Пензенская,Пермский,Приморский,Псковская,Ростовская,Рязанская,Самарская,Санкт-Петербург,Саратовская,Саха /Якутия/,Сахалинская,Свердловская,Севастополь,Северная Осетия - Алания,Смоленская,Ставропольский,Тамбовская,Татарстан,Тверская,Томская,Тульская,Тыва,Тюменская,Удмуртская,Ульяновская,Хабаровский,Хакасия,Ханты-Мансийский Автономный округ - Югра,Челябинская,Чеченская,Чувашская Республика,Чукотский,Ямало-Ненецкий,Ярославская
Пензенская,0.0,0.0,67.0,0.0,36.0,0.0,738.0,89.0,0.0,0.0,0.0,5968.0,6124.0,357.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,61.0,148.0,109.0,0.0,1993.0,287.0,222.0,33.0,0.0,0.0,1094.0,0.0,1000.0,5202.0,111300.0,0.0,0.0,0.0,14440.0,0.0,65.0,117.0,379.0,0.0,55534.0,192.0,0.0,0.0,1302.0,2437.0,10797.0,1629.0,41774.0,0.0,0.0,527.0,0.0,0.0,0.0,1266.0,8361.0,728.0,87.0,42.0,145.0,0.0,71.0,50.0,22523.0,0.0,0.0,341.0,406.0,0.0,203.0,0.0,56.0,0.0
Пермский,0.0,0.0,51.0,0.0,394.0,179.0,35508.0,74.0,0.0,48.0,694.0,882.0,371.0,535.0,428.0,0.0,58.0,0.0,0.0,324.0,0.0,586.0,0.0,2732.0,0.0,76.0,330.0,2896.0,539.0,223.0,6889.0,869.0,1219.0,4069.0,0.0,222.0,0.0,46.0,991.0,142.0,36295.0,0.0,110.0,0.0,3104.0,0.0,1519.0,716.0,7778.0,0.0,419.0,180579.0,0.0,0.0,1617.0,0.0,890.0,10555.0,346.0,354.0,0.0,98657.0,0.0,0.0,44.0,927.0,0.0,53680.0,45.0,85.0,0.0,0.0,3819.0,43957.0,255.0,53.0,61.0,4445.0,10416.0,75.0,355.0,0.0,3178.0,468.0
Приморский,0.0,0.0,0.0,4933.0,118.0,72.0,1048.0,0.0,2065.0,927.0,0.0,57.0,0.0,0.0,74.0,1012.0,957.0,0.0,0.0,1613.0,0.0,126.0,0.0,45.0,1624.0,0.0,212.0,45.0,0.0,0.0,415.0,537.0,3615.0,0.0,0.0,0.0,0.0,717.0,0.0,0.0,16687.0,0.0,60.0,0.0,0.0,0.0,694.0,156.0,0.0,0.0,0.0,0.0,53742.0,0.0,85.0,0.0,61.0,930.0,0.0,355.0,2728.0,709.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,33.0,0.0,0.0,66.0,0.0,0.0,27113.0,0.0,111.0,0.0,0.0,0.0,0.0,51.0,0.0
Псковская,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,13344.0,0.0,0.0,0.0,0.0,96983.0,57.0,448.0,0.0,0.0,6131.0,0.0,0.0,0.0,989.0,0.0,0.0,0.0,204898.0,0.0,0.0,0.0,228048.0,0.0,0.0,0.0,0.0,0.0,0.0,9137.0,0.0,0.0,0.0,15615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ростовская,7610.0,0.0,142.0,329.0,518.0,34486.0,2730.0,22328.0,506.0,62.0,103.0,106917.0,52.0,46436.0,32677.0,0.0,132.0,0.0,7245.0,683.0,11441.0,937.0,5790.0,1421.0,54.0,0.0,213.0,542.0,962.0,0.0,232939.0,1321.0,128043.0,42.0,5150.0,0.0,5140.0,0.0,0.0,288.0,865160.0,0.0,1460.0,0.0,3795.0,53.0,2992.0,533.0,447.0,2502.0,1303.0,1310.0,0.0,84.0,317265.0,1457.0,4256.0,32322.0,13965.0,855.0,55.0,3077.0,54234.0,4397.0,430.0,144820.0,594.0,4101.0,316.0,116.0,1782.0,0.0,2477.0,256.0,173.0,362.0,120.0,2597.0,2447.0,4558.0,437.0,70.0,1691.0,153.0
Рязанская,0.0,0.0,0.0,0.0,37.0,122.0,401.0,1014.0,0.0,0.0,15653.0,361.0,35.0,2847.0,151.0,0.0,0.0,0.0,46.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,0.0,0.0,52.0,1028.0,0.0,5965.0,0.0,0.0,1038.0,234719.0,9641.0,0.0,0.0,1239.0,33.0,0.0,0.0,790.0,1014.0,535.0,0.0,0.0,0.0,1350.0,60324.0,1475.0,4208.0,701.0,0.0,0.0,0.0,0.0,195.0,30.0,935.0,1321.0,335.0,374.0,0.0,17434.0,0.0,0.0,0.0,908.0,0.0,0.0,0.0,367.0,190.0,0.0,0.0,0.0,27.0
Самарская,0.0,0.0,168.0,177.0,310.0,1350.0,6897.0,726.0,0.0,0.0,173.0,3306.0,0.0,2566.0,1210.0,0.0,210.0,363.0,117.0,813.0,0.0,501.0,0.0,496.0,0.0,0.0,299.0,513.0,311.0,59.0,14348.0,1404.0,3072.0,666.0,0.0,0.0,121.0,0.0,1987.0,1399.0,81016.0,64.0,215.0,51.0,10373.0,204.0,1460.0,947.0,10834.0,0.0,9031.0,2074.0,0.0,0.0,4320.0,1394.0,2851.0,23941.0,13900.0,273.0,71.0,5570.0,0.0,106.0,98.0,3262.0,429.0,51396.0,158.0,214.0,276.0,0.0,1863.0,3207.0,24185.0,128.0,0.0,6605.0,2919.0,228.0,997.0,0.0,1754.0,378.0
Санкт-Петербург,0.0,55.0,2343.0,850.0,24603.0,5325.0,15622.0,16270.0,7060.0,469.0,4742.0,28085.0,115221.0,21059.0,10674.0,0.0,917.0,7380.0,642.0,2760.0,739.0,23666.0,4086.0,13079.0,93.0,125859.0,861.0,8391.0,17395.0,3998.0,84435.0,6756.0,25409.0,615.0,8375.0,793587.0,5816.0,167.0,0.0,2403.0,2526353.0,0.0,33065.0,842.0,17858.0,373996.0,10307.0,7974.0,10066.0,4003.0,1974.0,9418.0,1083.0,614379.0,41142.0,4105.0,24378.0,75.0,7331.0,2100.0,268.0,22317.0,0.0,4833.0,237990.0,35064.0,4706.0,25263.0,47964.0,2084.0,9181.0,0.0,8464.0,5848.0,1989.0,1207.0,313.0,10323.0,12704.0,1450.0,10748.0,48.0,8670.0,13442.0
Саратовская,0.0,0.0,69.0,0.0,0.0,2032.0,1362.0,2242.0,431.0,0.0,0.0,55096.0,0.0,24135.0,4158.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,195.0,0.0,0.0,103.0,195.0,163.0,0.0,14049.0,231.0,1309.0,124.0,3993.0,0.0,317.0,0.0,3068.0,1987.0,105500.0,2063.0,150.0,0.0,22052.0,236.0,286.0,366.0,1212.0,78.0,51007.0,510.0,0.0,0.0,9555.0,356.0,21453.0,5763.0,108522.0,122.0,123.0,904.0,0.0,0.0,40.0,13782.0,2672.0,2434.0,149.0,108.0,0.0,0.0,324.0,225.0,5722.0,62.0,0.0,1300.0,868.0,48.0,7024.0,0.0,629.0,0.0
Саха /Якутия/,0.0,0.0,0.0,3024.0,1575.0,101.0,706.0,0.0,0.0,1344.0,0.0,64.0,0.0,43.0,85.0,181.0,771.0,0.0,0.0,9891.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,1582.0,5255.0,1661.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,12374.0,0.0,0.0,0.0,104.0,0.0,10882.0,625.0,174.0,0.0,0.0,168.0,548.0,0.0,728.0,0.0,322.0,2388.0,107.0,12997.0,0.0,798.0,0.0,0.0,0.0,163.0,0.0,224.0,0.0,0.0,0.0,0.0,161.0,0.0,55.0,3495.0,0.0,256.0,542.0,0.0,116.0,0.0,0.0,0.0
