reg,Адыгея,Алтай,Алтайский,Амурская,Архангельская,Астраханская,Башкортостан,Белгородская,Брянская,Бурятия,Владимирская,Волгоградская,Вологодская,Воронежская,Дагестан,Еврейская,Забайкальский,Ивановская,Ингушетия,Иркутская,Кабардино-Балкарская,Калининградская,Калмыкия,Калужская,Камчатский,Карачаево-Черкесская,Карелия,Кемеровская,Кировская,Коми,Костромская,Краснодарский,Красноярский,Крым,Курганская,Курская,Ленинградская,Липецкая,Магаданская,Марий Эл,Мордовия,Москва,Московская,Мурманская,Ненецкий,Нижегородская,Новгородская,Новосибирская,Омская,Оренбургская,Орловская,Пензенская,Пермский,Приморский,Псковская,Ростовская,Рязанская,Самарская,Санкт-Петербург,Саратовская,Сахалинская,Свердловская,Севастополь,Северная Осетия - Алания,Смоленская,Ставропольский,Тамбовская,Татарстан,Тверская,Томская,Тульская,Тыва,Тюменская,Удмуртская,Ульяновская,Хабаровский,Хакасия,Ханты-Мансийский Автономный округ - Югра,Челябинская,Чеченская,Чувашская Республика,Чукотский,Саха /Якутия/,Ямало-Ненецкий,Ярославская
Адыгея,0.0,46.44466003349573,44.5446825463449,87.61093273882474,19.93382036205685,8.146790126158834,18.814019452621775,6.94327512139737,10.363837758955189,67.86901437461815,11.522437086692584,6.024348724042768,14.640990348506852,7.1071157168144845,7.580198579339848,92.9153924536961,73.77335304754821,12.420301237795686,4.9278670035546694,64.63746377780541,3.682493466202564,22.04225485797659,4.502158563228473,10.618397767792503,118.85439679067079,1.983452417204316,18.113157323348442,47.19407055931908,16.95159006048072,20.155603167582015,13.223108146035614,1.2041240597621081,53.96943881726129,6.010072276084189,27.44462192197002,8.122451671811518,18.07875117003233,8.016462875879984,111.71385801447678,14.33238233550645,10.838165115648765,11.416728170428993,11.559129693397233,25.391056500172287,26.39840660371352,12.348026895978913,16.47468079835503,44.06957586639764,34.847109949940716,16.62984738147462,9.278773855416095,9.885042787057431,20.97293207056806,91.7938449646579,17.69167066402777,2.640369413612679,10.022266234650436,13.184476077501234,18.18599145901469,9.063347668535604,102.66435603854734,23.874505035309312,6.575301127296741,4.849136524086714,13.12309235466317,1.91827093164683,8.22331249737588,14.362810792723373,12.945174299787562,46.39302575668697,9.89923770665084,54.80018055022438,28.358495662886355,17.93824472631125,12.74827716969824,95.03744456663982,52.14551765290135,33.24078476198025,23.769929435703936,5.744609867851128,13.569552419366154,138.86645602280035,91.30867763953633,34.40935355004887,13.01336761675591
Алтай,46.44466003349573,0.0,2.5857448920443002,41.60036319488123,47.152674321237846,38.31467007487689,30.13063705958885,49.393213554068005,51.610992023983634,21.624215707486528,45.7424564681146,41.570596378514885,46.69721185505009,46.7644233690365,39.48873642618862,47.0679071609491,27.539296865158185,45.26904443814549,42.075521648760756,18.32329674123134,43.1926093474033,65.51075512812666,42.07126263810517,49.77395157930332,72.70362203882317,44.58891364938267,52.52879345423438,3.433793440613813,36.89574391493145,36.44221473681626,45.34779204501332,47.49079592426283,7.994593761504377,52.3318094973597,20.936431099470184,49.768172839007384,55.898953005734356,46.370253613823294,65.29321597205951,38.346628710301104,40.83459570175859,48.488707341474154,48.78490226204163,55.571703752273834,36.49360010318357,42.18145507317971,55.07722784636609,4.319820199274686,12.951424358935508,30.859030197284916,49.900849663200745,40.94364939398522,30.335942888255673,46.7655199932409,57.9257529704525,46.48338698649344,46.30118231263858,35.87485589280873,56.21389040587564,40.00955816429547,56.99748480835905,25.82022841998322,52.94639852709384,42.23489574435974,54.218785655796495,44.53124971939651,44.51457784579988,37.04790491730895,50.28782758875201,4.638211862188288,48.39648423516798,8.480799246881194,21.07621678324988,33.1126308719519,37.658805796387874,49.223709857200475,5.760263279432297,19.20487103048047,24.767376866534793,41.178867422728,38.9370539615286,92.4281322838911,44.91561194691841,24.236248881731296,46.409264342539046
Алтайский,44.5446825463449,2.5857448920443002,0.0,43.85409788739555,44.68685351674332,36.399840655642755,27.856509864198614,47.27408816818049,49.41467852154771,23.852455918917126,43.4605433355035,39.536145028852225,44.338532136477134,44.61498502748448,37.72648492708271,49.352437962718604,29.7486905622232,42.9624574568858,40.27441189667466,20.52829541299783,41.36595861622405,63.287187806147195,40.13197007748065,47.54234611014464,74.87672425821773,42.71820401066906,50.13588748542963,3.0516111127005967,34.51437530873574,33.978715217246766,43.020382073670206,45.567504018267314,9.454866453998823,50.38483878919679,18.5823164350859,47.61468242659065,53.55137401954459,44.1913692212422,67.31667560023186,36.03017236997637,38.60259089502385,46.222112663756505,46.51677218776591,53.0740216181213,33.92899527646716,39.885628100114225,52.75857911493551,1.8867584667201431,10.540222148523378,28.720528896713663,47.71170841447882,38.745480405599864,27.93742055148569,49.17865408917981,55.62799646121037,44.4848291447599,44.062355605946394,33.67341445794477,53.86874957083094,37.87046033331642,59.303447845929334,23.435744038907405,51.007351200516176,40.43890652458418,51.98440915559169,42.62738443311532,42.332219054307906,34.75450509131246,47.99659311383739,3.3471187155738953,46.17216047441945,10.781654382649261,18.638050900000945,30.768684744123565,35.4179759559532,51.51203523684435,7.673075430839409,16.62800690021363,22.452308387837146,39.38048464134555,36.63779452858606,94.41050969018146,46.765316059538854,21.65943304982159,44.08955724110356
Амурская,87.61093273882474,41.60036319488123,43.85409788739555,0.0,88.16916859439728,79.56808810222394,71.70720926215706,90.94191366200997,93.20868634987339,20.002657569523073,87.31427834129572,83.02529788437745,88.14791272653567,88.34099286347295,80.3553882519177,5.598131337766275,14.13565440365618,86.81401023683819,83.02017422151874,23.332075955754668,84.19571787771626,107.1110735031106,83.35226186292122,91.37291609651548,31.24961688434073,85.69523736211507,93.8744676508982,41.792823754349676,78.30182001387516,77.5310271130826,86.8619570830435,88.70665360628087,35.14324151455442,93.5797189166593,62.42419572579871,91.34592075522785,97.36885187239939,87.96318426825526,25.06178269588462,79.87967379925213,82.43283574598424,90.07268333516687,90.36785030185612,96.29517219147688,76.51281382709504,83.73947438633859,96.60299442701043,44.85703502324601,54.36280660840983,72.44094864700496,91.49673091123927,82.54290360290554,71.7097752104179,8.39264448135558,99.48069421815786,87.8620186331324,87.89817543784721,77.4749155562435,97.68904591517713,81.58361359938473,15.571458141644392,67.24131727489939,94.1729420327656,83.16366196108488,95.8174278548048,85.71888316850135,86.1092746839135,78.60859864550743,91.85055639559498,43.027224690039404,89.99643491415435,33.12031820898475,62.37158204996975,74.60498172565875,79.25423721363497,7.75077605985219,36.246264112479004,59.48136954740549,66.30550352784238,82.12564214246107,80.49145671706665,52.01897934550024,11.942819370025733,63.05116903569446,87.93546044055975
Архангельская,19.93382036205685,47.152674321237846,44.68685351674332,88.16916859439728,0.0,19.67537494504747,18.290631425073638,14.485213259794747,12.863617586147408,68.26009478079705,8.411844867582571,16.329587449833443,5.334572575550252,12.94754179773321,22.658790809971066,93.73651175199744,74.04609761483397,7.5535962047575484,21.798139724463436,64.93024992689008,21.280208154720484,22.294805698542184,18.613315391778272,10.902291639405275,118.69752932573913,20.36995870960607,6.743663684333339,46.43977357563425,10.90745396356367,10.710470239397287,6.752990134523527,19.559855242168528,53.025964984500185,20.615166920138478,26.414291838505132,13.51922928982938,10.857165518859833,11.964603160862152,110.40349438395307,10.816379493346348,11.362258336959185,9.250626503790718,9.272562865125154,8.68592725793903,12.868610263462646,8.92505075264779,11.028167578576841,43.457637476358386,34.21170279687651,19.373234509791608,12.397223562636338,12.2289966760335,17.019311472014394,93.84330932763376,13.915366974360415,17.3352493744038,9.944557732820758,14.854388617013237,11.190432876177043,14.099019461796235,103.72183453492737,21.513886215293766,21.11378254208558,21.918146886584392,13.070269323535603,19.548754067671254,11.854945420024626,12.26129229643357,8.95556222203114,45.15534251675282,10.746424144988609,55.423818135962016,26.08489338078673,14.840168312691596,12.9005467727018,95.89965760229586,52.062866045265466,28.71993857435249,22.893154858709387,21.844691342168456,10.761043976572935,136.98470164620545,89.25090047623816,26.168703137575577,6.9453347113176696
Астраханская,8.146790126158834,38.31467007487689,36.399840655642755,79.56808810222394,19.67537494504747,0.0,11.510178803243464,12.226038953454587,15.320614389796628,59.77874608567094,12.401417955440932,4.24352947928348,15.2820709819341,10.320256230509942,3.4253902390715503,84.90051588243598,65.68851931777891,12.77696817908485,4.553740514610138,56.53554270833749,5.300299211957363,28.783995295621065,3.786289590658859,14.339145980251509,110.80094586199185,6.378461863965124,20.62705095372995,39.048145909503155,12.343651462279148,15.553605434310366,13.443635086531312,9.176134738784867,45.82274123466813,14.027665421916456,19.50221142604581,13.019976128729986,22.12552023336646,10.516242479365117,103.59725457193633,10.269982712018152,8.325419900960862,14.037179126603002,14.306281091894473,27.15303685656617,21.841109656727053,10.750891454886052,20.72073566086475,35.92508382066748,26.738763622640793,8.89043683272126,13.684104608382397,7.449931141515212,14.229638193967125,83.88929772252008,22.808563263883304,8.381127238033024,11.72381905384624,7.130840933652745,22.33729897217027,5.5765223510639625,94.68398773957256,16.345474399501775,14.63550629474601,4.751191182352669,18.294114107871238,6.228681835101142,9.165400913769451,9.487705207524971,16.04942287917554,38.25479422895366,13.048349636488094,46.689669183948375,20.539270862348932,11.685834628888442,7.9488850722290625,87.02920434745052,44.00706597907801,25.566715522585017,15.982227912627463,3.8532900939072245,9.811611394707311,130.74196752384606,83.16474576448971,27.414894036552067,13.901554407990197
Башкортостан,18.814019452621775,30.13063705958885,27.856509864198614,71.70720926215706,18.290631425073638,11.510178803243464,0.0,19.808879849668166,21.644136981254636,51.70775239379116,15.611863163553565,12.931570132551277,16.742108798227584,17.04088456355446,14.474790952596205,77.19279579596771,57.60497370729665,15.155195528042082,16.061820829112676,48.38478296895293,16.706602551483975,35.450629590460174,14.408669394084514,19.707599704040597,102.71208304569613,17.433761383453824,22.721051068016283,30.096074517154488,7.384446642515791,8.620705371660684,15.278362492819854,19.55419715474714,36.9165622544397,23.948662780731365,9.385125520414514,19.99227404450653,25.857956096141685,16.500584083435406,94.97373064855084,8.278881464959557,10.785880249761034,18.36578332919531,18.66071672991122,26.974662057586112,13.236432009557845,12.057677643674001,24.971119636068572,26.96478742195779,17.4113934285649,3.0691579001034603,19.966611180730215,11.033882615534951,3.2871020981023995,76.80830725226176,27.797700024690315,17.89256998616619,16.22223436475094,6.050285671116749,26.1648385287692,10.50549743036711,87.12792568382572,5.101597539080493,24.608816036280466,16.25953538742383,24.142583807725302,17.01734280147396,14.644692313666946,6.927834883549573,20.15825299155236,29.043071343055335,18.350506915899146,38.597849225368606,9.877052824103083,3.468220545608354,7.594993665989222,79.35012649299796,35.50035573940043,14.486489841372281,5.459528489612597,15.349554499761682,8.822248993643376,121.95411107376653,74.13432257939657,15.906488909753728,16.317370032025966
Белгородская,6.94327512139737,49.393213554068005,47.27408816818049,90.94191366200997,14.485213259794747,12.226038953454587,19.808879849668166,0.0,3.4529734425112553,71.0090801866919,6.722862369803634,8.153404719063415,9.24097783238757,2.818534024582692,13.310756915828378,96.35280915295753,76.92707408057501,7.760666523882017,11.085054805780269,67.71588899915092,9.99467902793577,16.595462238680486,8.800457011265934,3.9225740999496157,122.09445989174826,8.391071378053839,11.410625702225158,49.6926751346831,15.337342296721324,18.045103525254586,8.445011961681843,6.04972177023806,56.52624411853657,6.172135397214482,29.136237840847258,1.1989084158456174,11.13763274082678,3.619851355702152,114.57440910331289,12.82373213628443,9.31691981036609,5.258907907718902,5.286668915482285,18.742932040171706,23.664925074851237,9.372435305465435,9.5385508738557,46.54655785224113,37.04234757095475,18.554101118933254,2.4250923301110268,8.833374122466264,21.000101284899866,95.58973912705378,10.967194889921226,4.605225127351613,5.113330618547457,13.768173914349953,11.25053238997263,9.41351657089938,106.21464381251525,24.81719390103692,6.718545092711782,11.088800922273311,6.348630868156048,7.734125776859563,5.3095876085617375,13.560919921811513,6.296982972087726,48.71933194651752,3.7388322053790612,57.86276774634173,29.6814343873263,17.76329930772554,12.359135118629327,98.4971543573387,54.946870807150894,34.06061334756752,25.2309323808007,11.663164766234603,12.019191374839258,141.62277540486184,93.84544880484206,33.997195362656846,7.765602756663755
Брянская,10.363837758955189,51.610992023983634,49.41467852154771,93.20868634987339,12.863617586147408,15.320614389796628,21.644136981254636,3.4529734425112553,0.0,73.2324271256144,6.69686809265192,11.118564686539107,8.12416003520256,5.08420099609061,16.668889318677937,98.65678253228069,79.14343635942424,7.601200364791381,14.513041899147302,69.92191440440594,13.439364283756161,13.935279912635472,12.09060872511338,2.2706824057197244,124.29081163585319,11.84391938399579,8.547084764344184,51.726173477204405,16.21471701730485,18.50091857672678,8.043557989173836,9.40896490608881,58.552582455639815,8.29798007209923,31.02911807413163,2.3715886983838974,7.730707631221384,5.26737165624416,116.61497582806864,13.953237343875543,10.861598308465515,4.111591944614497,3.936171875654654,15.818921976424484,23.553355695106067,10.120866845921007,6.117078517129601,48.58862498496503,39.04111129184443,20.78741373892336,1.7263794555663974,10.669677176978617,22.382713794064248,98.04136116760016,7.57324346030823,8.055765281307764,5.546048014506526,15.741567191968539,7.826201261147785,11.71348479764046,108.55482441772673,26.48555660057728,8.666072118261006,14.522835104293483,2.9813246320216513,11.181026070172503,7.106089637121809,14.965521003889192,3.933322497137443,50.68673461024391,3.3861155730074604,60.09175106633491,31.413461716141473,19.188898679161127,14.050102473831146,100.80786724573016,57.08052885715179,35.51139029699989,27.103489231904057,15.063885626056313,13.206375577767067,143.59668643407832,95.771165176781,34.88129651210262,7.056252160705126
Бурятия,67.86901437461815,21.624215707486528,23.852455918917126,20.002657569523073,68.26009478079705,59.77874608567094,51.70775239379116,71.0090801866919,73.2324271256144,0.0,67.31299758190522,63.14456664311281,68.1530767463905,68.38754456561469,60.72763949135788,25.519187775733258,5.918736833429608,66.81135294881611,63.36627249740047,3.3343990644788444,64.51956595608408,87.12431719026911,63.554629985381595,71.3826073049738,51.08594326606875,65.97731883095253,73.89821407120189,21.82920357036606,58.31058026418255,57.594501581933535,66.86044408900969,68.94356395359155,15.312192027631871,73.80588647920297,42.42197458136697,71.39158074398466,77.37277804335457,67.9939626791155,43.91096692012731,59.87708630856704,62.44206067488911,70.07353305264999,70.36841992017699,76.46909317121647,56.81955364828821,63.73715777566491,76.60116380809576,24.869138761070758,34.36150257510296,52.48243328793497,71.52349064888676,62.56380391480833,51.720147381968395,25.814520275918944,79.47806319809057,68.02182761899788,67.9055747892516,57.49351045507277,77.69232117540203,61.63187052593118,35.490290817444325,47.244541440034325,74.40958320374358,63.516581922063885,75.82634837302433,65.9654070675873,66.13785291347945,58.60662421672303,71.84830563359237,23.108910541078302,70.00850402356724,13.146924431689564,42.384992672243484,54.60393690050955,59.2609699441754,27.68146429876928,16.250527843514828,39.6407982522856,46.303041811697575,62.469160619021885,60.48905965923928,71.09714844360265,24.382005457878442,43.538149930774665,67.93330961817041
Владимирская,11.522437086692584,45.7424564681146,43.4605433355035,87.31427834129572,8.411844867582571,12.401417955440932,15.611863163553565,6.722862369803634,6.69686809265192,67.31299758190522,0.0,8.482462609201459,3.17237607881503,4.630215221586366,14.936673551958267,92.80367096407633,73.20576414584045,1.0382055669526777,13.687575474140829,63.98778993870381,13.041879041936031,19.951709412437324,10.55194309560617,4.462001167918638,118.28801078973063,12.013550209757863,8.284480677783462,45.6444402613432,9.58478426316194,11.807973264416836,1.7731721223158912,11.180037867984241,52.44425100793278,12.836788642065303,24.91721919460177,6.0920061486443915,10.509489285941548,3.6107279227443834,110.45381111826352,7.508628728197517,5.159548011887688,2.8129370422950872,3.0931048740633105,14.82409200400894,17.064747238494217,3.602434101342081,9.441162606030305,42.526988050760586,32.9789894239757,15.321170372408352,5.367977173016292,5.488423834992067,15.937407852396689,92.39484751889793,12.194314235398021,8.932372104555121,1.646235790681547,10.132262593745601,10.788029289554986,7.203025092342972,102.73978884736289,20.209681552108858,13.412224827185751,13.786752147950953,8.697038047310176,11.192957513119937,3.563215335485378,8.709629347378883,4.555442847766431,44.54130128174954,3.3983799770581506,54.20902087955561,25.14690772282316,12.823584161747782,8.171841621916112,94.96130232832166,51.0921521736285,29.022276961687904,21.01478286651813,13.859442124831933,6.840590504743151,137.3629595081055,89.51890350220049,28.196571756149016,1.578273772256514
Волгоградская,6.024348724042768,41.570596378514885,39.536145028852225,83.02529788437745,16.329587449833443,4.24352947928348,12.931570132551277,8.153404719063415,11.118564686539107,63.14456664311281,8.482462609201459,0.0,11.533973607447386,6.0843216819601675,6.455309749738343,88.40478190036379,69.0626420726935,9.01792836210411,5.546411303999739,59.87071325108194,5.30125553575955,24.74814632176285,2.411575890971423,10.09672594866249,114.22098912881317,5.116199041278895,16.562261134499774,42.06416814698542,11.156574137036417,14.419703232057827,9.755372761155373,6.644445703812969,48.88387811512003,11.07436149613917,21.863033257657467,8.856331131981849,17.898988612710795,6.282051453097125,106.8449601561012,8.618794174706341,5.514316896028331,9.85999082526421,10.120385303793995,23.30614516485975,20.747519482480083,7.634172130678497,16.48199784914934,38.920737830258744,29.525522743884295,11.023819704688645,9.460771171601507,4.4980815034468185,14.961277465651937,87.54403280790872,18.573928670443845,5.022705935156033,7.608148696184538,7.168480927763818,18.10608069929502,3.1674011845399823,98.23665868291975,18.02661894488077,11.728112872925157,5.689087451889036,14.081665292789712,4.461768398733715,5.050324946222169,8.446167719294593,11.853030328380326,41.17241415535309,8.815653070689047,50.01148291295442,22.650815575843765,11.913943470696525,6.800935551063294,90.54318487800509,47.19398848701755,27.413263977055735,18.074979049275136,5.517179566308925,7.9226303777080584,133.94651103055995,86.25041773156346,28.396682100210985,10.040082482049602
Вологодская,14.640990348506852,46.69721185505009,44.338532136477134,88.14791272653567,5.334572575550252,15.2820709819341,16.742108798227584,9.24097783238757,8.12416003520256,68.1530767463905,3.17237607881503,11.533973607447386,0.0,7.61601951605443,17.981010763341956,93.67127022140379,74.01627735468965,2.5201094579283256,16.832479121896608,64.81997804080783,16.208650214685026,19.85468756500616,13.678872679200232,5.944371477993946,118.98250950360027,15.18341982433563,6.036704731289252,46.37185980017026,9.853401800239697,11.26313716835613,1.8502999841947898,14.234160843536408,53.11561659042754,15.4074884825754,25.762884854025863,8.354219163998629,9.222313300413079,6.642489977501892,110.97334347458963,8.477293965691642,7.369523129026345,4.137540381336099,4.237231094202492,11.875873806638118,15.616351985033688,5.092917067001796,8.590958593103322,43.29161294162806,33.80179175520224,16.991720930945384,7.323641834430527,7.994515714518311,16.44520377907829,93.44965477450681,11.5922589797305,12.026549963204623,4.6240354085748745,11.922157453770161,9.544847652326252,9.848376249205295,103.63371432832224,20.909170959045003,15.934427602977209,16.93610827782631,9.177807332250632,14.363193483237582,6.7243351968647245,9.898099506802149,4.5943628391421845,45.19710463140297,5.522385440264038,55.11875060159005,25.78394563582903,13.588596061957459,9.865365873957076,95.83288256572484,51.90314690170598,29.235350851970004,21.94920101412563,16.97495608141952,8.037021607331232,137.77507575943875,89.93988801892658,27.750387706532678,1.627993977001888
Воронежская,7.1071157168144845,46.7644233690365,44.61498502748448,88.34099286347295,12.94754179773321,10.320256230509942,17.04088456355446,2.818534024582692,5.08420099609061,68.38754456561469,4.630215221586366,6.0843216819601675,7.61601951605443,0.0,12.011013745862577,93.7686986952637,74.30360515732885,5.627807082628379,10.179961947108715,65.08684779769835,9.288384430569922,18.93650743493316,7.373676145546024,4.096182950658974,119.46703088109555,7.960051847470655,11.225525811742154,46.998344710080595,12.564513969902867,15.351002003523096,6.400250659783948,6.622682830874568,53.83165042570759,8.426958509937194,26.392141913906478,3.0050248746675425,11.958660972458066,1.0309063254899764,111.89156803217337,10.024694126557748,6.498535366828561,4.387629860134421,4.571420549558377,18.39902592565884,21.11977084688523,6.69957236836958,10.480297562547026,43.85381914602463,34.332080887142254,15.905426819017457,3.389715753859092,6.031578054867077,18.182616249077547,93.07838605687684,12.489779933778921,4.467398238974135,3.014823625690443,11.017526064934673,12.142026101131503,6.757426086908135,103.6479190729687,22.026276724291446,9.042260584739731,10.23299340418468,8.016704191181569,7.172112932448268,2.4929787921060758,10.742476265172654,6.150139657843005,46.005116204035424,2.98595422491114,55.24092749380676,26.90437437173042,14.945923143858558,9.552631944470122,95.91626197663791,52.28766935215109,31.250878573244407,22.478292243709802,10.575640687367057,9.21672051249703,138.92114784727514,91.12756229911346,31.194708982809914,6.0034495462494775
Дагестан,7.580198579339848,39.48873642618862,37.72648492708271,80.3553882519177,22.658790809971066,3.4253902390715503,14.474790952596205,13.310756915828378,16.668889318677937,60.72763949135788,14.936673551958267,6.455309749738343,17.981010763341956,12.011013745862577,0.0,85.6144790677343,66.61237507184494,15.462011924865468,2.697816450765578,57.53290165833239,3.9295101065295217,29.43254909346272,4.637580545924366,16.10492423762452,111.6049009484428,5.597381386660103,22.943197278422456,40.489621926473575,15.767777623642493,18.978540348325122,16.186618911891554,8.77272742165472,47.18116277101781,13.547543874650124,21.736800402712596,14.298407939887493,23.96643076365699,12.458625911692016,104.62648774727892,13.655239504495922,11.433426382910953,16.147645266831223,16.388412504495967,29.758814572614543,25.25985571522911,13.790683939973189,22.4670575789406,37.40806131425459,28.51114010787052,11.627678203824235,15.179167771811125,10.485574866471719,17.377271505186282,84.37782020585709,24.241636068943244,8.864335259741825,13.994827361266266,10.536675282063012,24.14336990188937,8.685238534196657,95.31638588932539,19.067238490418468,14.074201655994782,2.8229170753114357,19.63257056075366,5.906380120136119,11.464273624985722,12.909926496028191,18.07962981353628,39.802823959755386,14.94648902457039,47.73890627169288,22.93050414424762,14.99618189033373,11.35660201502447,87.72657354461235,45.23210036504993,28.061939662112163,18.47555546618168,1.8369672193064268,13.161565812912173,131.80333575557614,84.404245594279,30.335451788699547,16.495373436593006
